Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","159","China","5419","Yield","01345","Peaches and nectarines","2017","2017","100 g/ha","174412","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5419","Yield","01342.01","Pears","2017","2017","100 g/ha","178082","A","Official figure",""
"QCL","Crops and livestock products","159","China","5419","Yield","01705","Peas, dry","2017","2017","100 g/ha","15861","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5419","Yield","01242","Peas, green","2017","2017","100 g/ha","80254","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5419","Yield","01651","Pepper (Piper spp.), raw","2017","2017","100 g/ha","18465","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5419","Yield","01359.01","Persimmons","2017","2017","100 g/ha","36095","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5419","Yield","01318","Pineapples","2017","2017","100 g/ha","273712","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5419","Yield","01375","Pistachios, in shell","2017","2017","100 g/ha","28327","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5419","Yield","01346","Plums and sloes","2017","2017","100 g/ha","34772","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5419","Yield","01321","Pomelos and grapefruits","2017","2017","100 g/ha","441801","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5419","Yield","01510","Potatoes","2017","2017","100 g/ha","182085","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5419","Yield","01235","Pumpkins, squash and gourds","2017","2017","100 g/ha","185067","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5419","Yield","01342.02","Quinces","2017","2017","100 g/ha","33862","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5419","Yield","01929.04","Ramie, raw or retted","2017","2017","100 g/ha","18732","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5419","Yield","01443","Rape or colza seed","2017","2017","100 g/ha","19952","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5419","Yield","0113","Rice","2017","2017","100 g/ha","69122","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5419","Yield","0116","Rye","2017","2017","100 g/ha","31594","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5419","Yield","01446","Safflower seed","2017","2017","100 g/ha","14406","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5419","Yield","01921.01","Seed cotton, unginned","2017","2017","100 g/ha","35357","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5419","Yield","01444","Sesame seed","2017","2017","100 g/ha","16003","A","Official figure",""
"QCL","Crops and livestock products","159","China","5419","Yield","01929.05","Sisal, raw","2017","2017","100 g/ha","52943","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5419","Yield","0114","Sorghum","2017","2017","100 g/ha","48521","A","Official figure",""
"QCL","Crops and livestock products","159","China","5419","Yield","0141","Soya beans","2017","2017","100 g/ha","18534","A","Official figure",""
"QCL","Crops and livestock products","159","China","5419","Yield","01215","Spinach","2017","2017","100 g/ha","355002","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5419","Yield","01354","Strawberries","2017","2017","100 g/ha","264155","A","Official figure",""
"QCL","Crops and livestock products","159","China","5419","Yield","01241.01","String beans","2017","2017","100 g/ha","118800","A","Official figure",""
"QCL","Crops and livestock products","159","China","5419","Yield","01801","Sugar beet","2017","2017","100 g/ha","538419","A","Official figure",""
"QCL","Crops and livestock products","159","China","5419","Yield","01802","Sugar cane","2017","2017","100 g/ha","760408","A","Official figure",""
"QCL","Crops and livestock products","159","China","5419","Yield","01445","Sunflower seed","2017","2017","100 g/ha","26901","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5419","Yield","01530","Sweet potatoes","2017","2017","100 g/ha","222463","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5419","Yield","01499.04","Tallowtree seeds","2017","2017","100 g/ha","24536","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5419","Yield","01324","Tangerines, mandarins, clementines","2017","2017","100 g/ha","103713","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5419","Yield","01550","Taro","2017","2017","100 g/ha","194031","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5419","Yield","01620","Tea leaves","2017","2017","100 g/ha","37448","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5419","Yield","01234","Tomatoes","2017","2017","100 g/ha","557362","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5419","Yield","01191","Triticale","2017","2017","100 g/ha","19262","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5419","Yield","01929.02","True hemp, raw or retted","2017","2017","100 g/ha","56941","A","Official figure",""
"QCL","Crops and livestock products","159","China","5419","Yield","01499.02","Tung nuts","2017","2017","100 g/ha","26097","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5419","Yield","01970","Unmanufactured tobacco","2017","2017","100 g/ha","22118","A","Official figure",""
"QCL","Crops and livestock products","159","China","5419","Yield","01658","Vanilla, raw","2017","2017","100 g/ha","1711","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5419","Yield","01376","Walnuts, in shell","2017","2017","100 g/ha","36658","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5419","Yield","01221","Watermelons","2017","2017","100 g/ha","414066","A","Official figure",""
"QCL","Crops and livestock products","159","China","5419","Yield","0111","Wheat","2017","2017","100 g/ha","54838","A","Official figure",""
"QCL","Crops and livestock products","356","India","5419","Yield","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2017","2017","100 g/ha","9890","A","Official figure",""
"QCL","Crops and livestock products","356","India","5419","Yield","01341","Apples","2017","2017","100 g/ha","74262","A","Official figure",""
"QCL","Crops and livestock products","356","India","5419","Yield","01343","Apricots","2017","2017","100 g/ha","28154","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5419","Yield","01379.01","Areca nuts","2017","2017","100 g/ha","15890","A","Official figure",""
"QCL","Crops and livestock products","356","India","5419","Yield","01312","Bananas","2017","2017","100 g/ha","354384","A","Official figure",""
"QCL","Crops and livestock products","356","India","5419","Yield","0115","Barley","2017","2017","100 g/ha","26628","A","Official figure",""
"QCL","Crops and livestock products","356","India","5419","Yield","01701","Beans, dry","2017","2017","100 g/ha","4137","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5419","Yield","01212","Cabbages","2017","2017","100 g/ha","222962","A","Official figure",""
"QCL","Crops and livestock products","356","India","5419","Yield","01229","Cantaloupes and other melons","2017","2017","100 g/ha","219400","A","Official figure",""
"QCL","Crops and livestock products","356","India","5419","Yield","01251","Carrots and turnips","2017","2017","100 g/ha","154132","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5419","Yield","01372","Cashew nuts, in shell","2017","2017","100 g/ha","7618","A","Official figure",""
"QCL","Crops and livestock products","356","India","5419","Yield","01520.01","Cassava, fresh","2017","2017","100 g/ha","209598","A","Official figure",""
"QCL","Crops and livestock products","356","India","5419","Yield","01447","Castor oil seeds","2017","2017","100 g/ha","17037","A","Official figure",""
"QCL","Crops and livestock products","356","India","5419","Yield","01213","Cauliflowers and broccoli","2017","2017","100 g/ha","188480","A","Official figure",""
"QCL","Crops and livestock products","356","India","5419","Yield","01344.02","Cherries","2017","2017","100 g/ha","30473","E","Estimated value",""
"QCL","Crops and livestock products","356","India","5419","Yield","01703","Chick peas, dry","2017","2017","100 g/ha","9742","A","Official figure",""
