Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","356","India","5419","Yield","01610","Coffee, green","2019","2019","100 g/ha","7667","A","Official figure"
"QCL","Crops and livestock products","356","India","5419","Yield","01232","Cucumbers and gherkins","2019","2019","100 g/ha","64002","E","Estimated value"
"QCL","Crops and livestock products","356","India","5419","Yield","01233","Eggplants (aubergines)","2019","2019","100 g/ha","174415","A","Official figure"
"QCL","Crops and livestock products","356","India","5419","Yield","01315","Figs","2019","2019","100 g/ha","25019","E","Estimated value"
"QCL","Crops and livestock products","356","India","5419","Yield","01657","Ginger, raw","2019","2019","100 g/ha","109024","A","Official figure"
"QCL","Crops and livestock products","356","India","5419","Yield","01330","Grapes","2019","2019","100 g/ha","217214","A","Official figure"
"QCL","Crops and livestock products","356","India","5419","Yield","01252","Green garlic","2019","2019","100 g/ha","81285","A","Official figure"
"QCL","Crops and livestock products","356","India","5419","Yield","0142","Groundnuts, excluding shelled","2019","2019","100 g/ha","14220","A","Official figure"
"QCL","Crops and livestock products","356","India","5419","Yield","01922.01","Jute, raw or retted","2019","2019","100 g/ha","25695","A","Official figure"
"QCL","Crops and livestock products","356","India","5419","Yield","01922.02","Kenaf, and other textile bast fibres, raw or retted","2019","2019","100 g/ha","11715","E","Estimated value"
"QCL","Crops and livestock products","356","India","5419","Yield","01322","Lemons and limes","2019","2019","100 g/ha","114164","A","Official figure"
"QCL","Crops and livestock products","356","India","5419","Yield","01704","Lentils, dry","2019","2019","100 g/ha","9010","A","Official figure"
"QCL","Crops and livestock products","356","India","5419","Yield","01214","Lettuce and chicory","2019","2019","100 g/ha","63424","E","Estimated value"
"QCL","Crops and livestock products","356","India","5419","Yield","01441","Linseed","2019","2019","100 g/ha","5736","A","Official figure"
"QCL","Crops and livestock products","356","India","5419","Yield","0112","Maize (corn)","2019","2019","100 g/ha","30702","A","Official figure"
"QCL","Crops and livestock products","356","India","5419","Yield","01316","Mangoes, guavas and mangosteens","2019","2019","100 g/ha","99654","A","Official figure"
